Name,Grid Line Type,ID,Ordinate
GA,X (Cartesian),R8.A,0
GA,X (Cartesian),1,0.15
GA,X (Cartesian),2,4.05
GA,X (Cartesian),3,6.05
GA,X (Cartesian),4,9.65
GA,X (Cartesian),5,11.8
GA,X (Cartesian),6,14.9
GA,X (Cartesian),7,15.25
GA,X (Cartesian),8,19.2
GA,X (Cartesian),9,20.65
GA,X (Cartesian),10,24.8
GA,X (Cartesian),11,26.25
GA,X (Cartesian),13,31.85
GA,X (Cartesian),14,31.9
GA,X (Cartesian),15,34.025
GA,X (Cartesian),16,37.5
GA,X (Cartesian),17,40.575
GA,X (Cartesian),18,41.875
GA,X (Cartesian),19,44.225
GA,X (Cartesian),20,44.875
GA,X (Cartesian),21,46.725
GA,X (Cartesian),22,50.425
GA,Y (Cartesian),A1,0
GA,Y (Cartesian),A,1.122
GA,Y (Cartesian),B,2.0595
GA,Y (Cartesian),C,4.122
GA,Y (Cartesian),C1,7.4999
GA,Y (Cartesian),D,11.2468
GA,Y (Cartesian),E,11.472
GA,Y (Cartesian),F,13.972
GA,Y (Cartesian),G,14.2717
GA,Y (Cartesian),G1,14.3999
GA,Y (Cartesian),H,14.472
GA,Y (Cartesian),I,18.0217
GA,Y (Cartesian),I1,20.1999
GA,Y (Cartesian),J,22.447
GA,Y (Cartesian),K,23.7965
GA,Y (Cartesian),L,28.047
GA,Y (Cartesian),M,29.3965
GA,Y (Cartesian),N,30.847
GA,Y (Cartesian),O1,34.8999
GA,Y (Cartesian),O,34.9964
GA,Y (Cartesian),P,36.4469
GA,Y (Cartesian),Q,40.4969
GB,X (Cartesian),22,0.173
GB,X (Cartesian),21,1.961
GB,X (Cartesian),20,2.134
GB,X (Cartesian),19,2.5732
GB,X (Cartesian),19',2.9232
GB,X (Cartesian),18,4.9612
GB,X (Cartesian),17,6.0732
GB,X (Cartesian),16,11.6732
GB,X (Cartesian),15,12.8732
GB,X (Cartesian),14,15.2732
GB,X (Cartesian),13,15.8732
GB,X (Cartesian),12,17.2732
GB,X (Cartesian),11,22.6732
GB,X (Cartesian),10,22.8732
GB,X (Cartesian),9,28.2732
GB,X (Cartesian),8,28.4732
GB,X (Cartesian),7,33.8732
GB,X (Cartesian),6,34.2232
GB,X (Cartesian),5,37.3232
GB,X (Cartesian),4,39.4732
GB,X (Cartesian),3,43.0732
GB,X (Cartesian),2,45.0732
GB,X (Cartesian),1,48.9732
GB,Y (Cartesian),A,0
GB,Y (Cartesian),B,0.95
GB,Y (Cartesian),C,3
GB,Y (Cartesian),D,10.1
GB,Y (Cartesian),E,10.35
GB,Y (Cartesian),F,12.55
GB,Y (Cartesian),G,13.075
GB,Y (Cartesian),H,13.35
GB,Y (Cartesian),I,16.825
GB,Y (Cartesian),J,18.2
GB,Y (Cartesian),K,22.6
GB,Y (Cartesian),L,23.8
GB,Y (Cartesian),M,28.2
GB,Y (Cartesian),N,29.4
GB,Y (Cartesian),O,32.1
GB,Y (Cartesian),P,33.3
GC,X (Cartesian),0,0
GC,X (Cartesian),1,0.35
GC,X (Cartesian),2,4.25
GC,X (Cartesian),3,6.25
GC,X (Cartesian),4,9.85
GC,X (Cartesian),5,12
GC,X (Cartesian),6,15.1
GC,X (Cartesian),7,15.45
GC,X (Cartesian),8,20.85
GC,X (Cartesian),9,21.05
GC,X (Cartesian),10,26.45
GC,X (Cartesian),11,26.65
GC,X (Cartesian),12,32.05
GC,X (Cartesian),13,32.25
GC,X (Cartesian),14,37.65
GC,X (Cartesian),15,37.85
GC,X (Cartesian),16,43.25
GC,X (Cartesian),17,43.45
GC,X (Cartesian),18,48.85
GC,X (Cartesian),19,49.05
GC,X (Cartesian),20,52.9
GC,X (Cartesian),21,54.65
GC,X (Cartesian),22,58.075
GC,X (Cartesian),23,60.25
GC,X (Cartesian),24,63.85
GC,X (Cartesian),25,65.85
GC,X (Cartesian),26,69.75
GC,X (Cartesian),27,69.9
GC,Y (Cartesian),A,0
GC,Y (Cartesian),B,0.4
GC,Y (Cartesian),C,0.721
GC,Y (Cartesian),D,0.925
GC,Y (Cartesian),E,3
GC,Y (Cartesian),F,10.35
GC,Y (Cartesian),G,13.35
