R8 VC Data,พ.ย.-25,,,,
Pier,AxisAngle,Len.,Thick.,CG_X,CG_Y
C_C01,90.00,0.40,0.35,-120.75,13.35
C_C02,90.00,0.40,0.35,-116.50,13.35
C_C03,90.00,0.40,0.35,-110.90,13.35
C_C04,90.00,0.40,0.35,-105.30,13.35
C_C05,90.00,0.40,0.35,-99.70,13.35
C_C06,90.00,0.40,0.35,-94.10,13.35
C_C15,90.00,0.80,0.35,-50.85,10.35
C_C16,90.00,0.80,0.35,-54.90,10.35
C_C17,90.00,0.80,0.35,-60.50,10.35
C_C18,90.00,0.80,0.35,-66.10,10.35
C_C19,90.00,0.80,0.35,-71.70,10.35
C_C20,90.00,0.80,0.35,-77.30,10.35
C_C21,90.00,0.80,0.35,-82.90,10.35
C_C22,90.00,0.80,0.35,-88.50,10.35
C_C24,90.00,0.80,0.35,-99.70,10.35
C_C25,90.00,0.80,0.35,-105.30,10.35
C_C26,90.00,0.80,0.35,-110.90,10.35
C_C30,90.00,0.80,0.35,-114.50,3.00
C_C31,90.00,0.80,0.35,-99.90,3.00
C_C36,90.00,0.80,0.35,-71.90,3.00
C_C37,90.00,0.80,0.35,-56.90,3.00
C_C38,90.00,0.80,0.35,-51.00,3.00
C_C39,90.00,0.40,0.35,-51.00,0.00
C_C40,90.00,0.40,0.35,-56.90,0.00
C_C41,90.00,0.40,0.35,-71.90,0.00
C_C42,90.00,0.40,0.35,-77.50,0.00
C_C44,90.00,0.40,0.35,-88.70,0.00
C_C43,90.00,0.40,0.35,-83.10,0.00
C_C11,90.00,0.40,0.35,-66.10,13.35
C_C12,90.00,0.40,0.35,-60.50,13.35
C_C13,90.00,0.40,0.35,-54.90,13.35
C_C14,90.00,0.40,0.35,-50.85,13.35
C_C07,90.00,0.40,0.35,-88.50,13.35
C_C08,90.00,0.40,0.35,-82.90,13.35
C_C09,90.00,0.40,0.35,-77.30,13.35
C_C10,90.00,0.40,0.35,-71.70,13.35
C_C27,90.00,0.80,0.35,-116.50,10.35
C_C28,90.00,0.80,0.35,-120.75,10.35
C_C29,90.00,0.80,0.35,-120.40,3.00
C_C23,90.00,0.80,0.35,-94.10,10.35
C_C32,90.00,0.80,0.35,-94.30,3.00
C_C33,90.00,0.80,0.35,-88.70,3.00
C_C34,90.00,0.80,0.35,-83.10,3.00
C_C35,90.00,0.80,0.35,-77.50,3.00
C_CW1P1,0.00,2.60,0.25,-67.85,3.22
C_CW1P2,90.00,5.70,0.25,-66.55,0.37
C_CW1P4,90.00,5.70,0.25,-69.15,0.37
C_SW1P2,90.00,5.90,0.25,-105.65,0.32
B_SW1P1,0.00,4.63,0.25,-43.21,16.83
B_SW1P2,0.00,4.63,0.25,-43.21,13.08
B_CW1P1,-0.50,3.46,0.25,-29.70,15.41
B_CW1P2,90.00,5.70,0.25,-28.48,12.55
B_CW1P4,89.99,5.73,0.25,-31.42,12.56
B_SW2P1,0.00,3.10,0.25,-9.45,3.15
B_SW2P2,90.00,5.90,0.25,-7.90,0.20
B_SW2P3,0.00,3.10,0.25,-9.45,-2.75
B_CW1P3,0.00,2.95,0.25,-29.95,9.70
A_SW1P1,0.00,3.10,0.25,23.35,4.40
A_SW1P2,90.00,6.03,0.25,24.90,1.38
C_CW1P3,0.00,2.60,0.25,-67.85,-2.48
C_C45,90.00,0.40,0.35,-94.30,0.00
C_C46,90.00,0.40,0.35,-99.90,0.00
C_C47,90.00,0.40,0.35,-114.50,0.00
C_C48,90.00,0.40,0.35,-120.40,0.00
A_SW1P3,90.00,19.65,0.11,33.02,6.20
C_CW1P5,90.00,4.63,0.25,-62.68,-0.16
C_SW1P1,0.00,3.10,0.25,-107.20,3.27
C_SW1P3,90.00,5.90,0.25,-108.75,0.32
A_CW1P2,90.00,5.69,0.25,43.14,14.27
A_CW1P3,0.00,2.81,0.25,41.73,11.43
A_SW2P2,0.00,4.75,0.25,54.89,14.27
A_SW2P1,0.00,4.75,0.25,54.89,18.02
A_CW1P4,90.00,5.69,0.25,40.33,14.27
B_C01,90.00,0.40,0.35,-45.05,0.00
B_C02,90.00,0.40,0.35,-39.15,0.00
B_C03,90.00,0.40,0.35,-33.55,0.00
B_C04,90.00,0.40,0.35,-27.95,0.00
B_C05,90.00,0.40,0.35,-22.35,0.00
B_C06,90.00,0.40,0.35,-16.75,0.00
B_C07,90.00,0.40,0.35,-2.15,0.00
B_C08,90.00,0.40,0.35,3.75,0.00
B_C09,90.00,0.80,0.35,3.75,3.00
B_C10,90.00,0.80,0.35,-2.15,3.00
B_C11,90.00,0.80,0.35,-16.75,3.00
B_C12,90.00,0.80,0.35,-22.35,3.00
B_C13,90.00,0.80,0.35,-27.95,3.00
B_C14,90.00,0.80,0.35,-33.55,3.00
B_C15,90.00,0.80,0.35,-39.15,3.00
B_C16,90.00,0.80,0.35,-45.05,3.00
B_C17,0.00,0.40,0.35,-43.09,10.10
B_C18,0.00,0.40,0.35,-43.09,22.60
B_C19,0.00,0.40,0.35,-43.09,28.20
B_C20,0.00,0.40,0.35,-43.09,32.10
B_C21,0.00,0.80,0.35,-40.26,32.10
B_C22,0.00,0.80,0.35,-40.26,28.20
B_C23,0.00,0.80,0.35,-40.26,22.60
B_C24,0.00,0.80,0.35,-40.26,10.10
B_C25,90.00,0.80,0.35,-22.55,10.35
B_C26,90.00,0.80,0.35,-16.95,10.35
B_C27,90.00,0.80,0.35,-11.35,10.35
B_C28,90.00,0.80,0.35,-5.75,10.35
B_C29,90.00,0.80,0.35,-0.15,10.35
B_C30,90.00,0.80,0.35,3.75,10.35
B_C31,0.00,0.80,0.35,-32.35,18.20
B_C32,0.00,0.80,0.35,-32.35,23.80
B_C33,0.00,0.80,0.35,-32.35,29.40
B_C34,0.00,0.80,0.35,-32.35,33.30
B_C35,0.00,0.40,0.35,-29.35,33.30
B_C36,0.00,0.40,0.35,-29.35,29.40
B_C37,0.00,0.40,0.35,-29.35,23.80
B_C38,0.00,0.40,0.35,-29.35,18.20
B_C39,90.00,0.40,0.35,-22.55,13.35
B_C40,90.00,0.40,0.35,-16.95,13.35
B_C41,90.00,0.40,0.35,-11.35,13.35
B_C42,90.00,0.40,0.35,-5.75,13.35
B_C43,90.00,0.40,0.35,-0.15,13.35
B_C44,90.00,0.40,0.35,3.75,13.35
A_C01,90.00,0.40,0.35,10.15,1.12
A_C02,90.00,0.40,0.35,16.05,1.12
A_C03,90.00,0.40,0.35,30.65,1.12
A_C04,90.00,0.40,0.35,36.25,1.12
A_C05,90.00,0.40,0.35,41.90,1.12
A_C06,90.00,0.40,0.35,47.50,1.12
A_C07,90.00,0.40,0.35,50.58,1.12
A_C08,90.00,0.40,0.35,56.73,1.12
A_C09,90.00,0.80,0.35,56.73,4.12
A_C10,90.00,0.80,0.35,50.58,4.12
A_C11,90.00,0.80,0.35,47.50,4.12
A_C12,90.00,0.80,0.35,41.90,4.12
A_C13,90.00,0.80,0.35,36.25,4.12
A_C14,90.00,0.80,0.35,30.65,4.12
A_C15,90.00,0.80,0.35,16.05,4.12
A_C16,90.00,0.80,0.35,10.15,4.12
A_C17,90.00,0.80,0.35,10.00,11.47
A_C18,90.00,0.80,0.35,14.05,11.47
A_C19,90.00,0.80,0.35,19.65,11.47
A_C20,90.00,0.80,0.35,25.25,11.47
A_C21,90.00,0.80,0.35,29.20,11.47
A_C22,90.00,0.80,0.35,34.80,11.47
A_C23,0.00,0.80,0.35,51.88,11.25
A_C24,0.00,0.40,0.35,54.88,11.25
A_C25,90.00,0.40,0.35,10.00,14.47
A_C26,90.00,0.40,0.35,14.05,14.47
A_C27,90.00,0.40,0.35,19.65,14.47
A_C28,90.00,0.40,0.35,25.25,14.47
A_C29,90.00,0.40,0.35,29.20,14.47
A_C30,90.00,0.40,0.35,34.80,14.47
A_C31,0.00,0.40,0.35,40.98,22.45
A_C32,0.00,0.40,0.35,40.98,28.05
A_C33,0.00,0.60,0.60,40.98,30.85
A_C34,0.00,0.60,0.60,40.98,36.45
A_C35,0.00,0.60,0.60,40.98,40.50
A_C36,0.00,0.80,0.60,44.03,40.50
A_C37,0.00,0.80,0.60,44.03,36.45
A_C38,0.00,0.80,0.60,44.03,30.85
A_C39,0.00,0.80,0.35,44.03,28.05
A_C40,0.00,0.80,0.35,44.03,22.45
A_C41,0.00,0.80,0.35,51.88,23.80
